;year;race_type;viitoitus
;2024;ju;333
;2024;ve;333
;2023;ju;500
;2023;ve;500
;2022;ju;550
;2022;ve;550
;2021;ju;1200
;2021;ve;1200
;2019;ju;1250
;2019;ve;1250
;2018;ju;600
;2018;ve;600
;2017;ju;1300
;2017;ve;1300
;2016;ju;1000
;2016;ve;850
;2015;ju;1375
;2015;ve;1200
;2014;ju;1000
;2014;ve;1000
;2013;ju;1300
;2013;ve;850
;2012;ju;2000
;2012;ve;1800
;2011;ju;700
;2011;ve;700
;2009;ju;1000
;2009;ve;1000
;2008;ju;600
;2008;ve;600
;2007;ju;500
;2007;ve;500
;2006;ju;750
;2006;ve;750
;2005;ju;850
;2005;ve;850
;2004;ju;1000
;2004;ve;900
;2003;ju;700
;2003;ve;700
;2002;ju;1000
;2002;ve;1000
